id,problem,solution,answer,difficulty,topic,difficulty_score,source_dataset
deepmath_-1.0_1,"Given a triangle \( \triangle ABC \) with \( \angle A = 20^\circ \), and points \( N \) and \( M \) such that \( AN = MC \) and \( NB = AM \), determine the measure of \( \angle X \).","Topic: Mathematics -> Geometry -> Plane Geometry -> Angles, Difficulty: -1.0",30^\circ,-1.0,Mathematics -> Geometry -> Plane Geometry -> Angles,-1.0,deepmath
deepmath_-1.0_3,Determine the number of different functions \( f(x) \) that satisfy the given conditions and also have the property that \( f(0) = 1 \).,"Topic: Mathematics -> Algebra -> Abstract Algebra -> Other, Difficulty: -1.0",1,-1.0,Mathematics -> Algebra -> Abstract Algebra -> Other,-1.0,deepmath
deepmath_-1.0_0,"In a game, there are three piles of balls, each initially containing an equal number of balls. On each turn, you select one pile and transfer a ball to another pile. The score for this move is calculated as the number of balls in the source pile minus the number of balls in the target pile (excluding the ball being transferred). If the result is negative, you lose points. What is the highest possible score you can achieve after making moves for 1000 years?","Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: -1.0",\infty,-1.0,Mathematics -> Discrete Mathematics -> Combinatorics,-1.0,deepmath
deepmath_1.0_1,"Are all elements in the sequence 10, 44, 136, 152, 184, 752, 884, 2144, 2272, 2528, 8384, 12224, 17176, 18632, 18904, 32896, 33664, 34688, 49024, 63248, 85936 even numbers?","Topic: Mathematics -> Algebra -> Prealgebra -> Integers, Difficulty: 1.0",Yes,1.0,Mathematics -> Algebra -> Prealgebra -> Integers,1.0,deepmath
deepmath_1.0_4,Evaluate the expression \( 2^{(0^{(2^3)})} \).,"Topic: Mathematics -> Algebra -> Prealgebra -> Simple Equations, Difficulty: 1.0",1,1.0,Mathematics -> Algebra -> Prealgebra -> Simple Equations,1.0,deepmath
deepmath_1.0_2,Calculate the value of the expression: \(6 \times 7 + 4 \times 7 + 6 \times 3 + 4 \times 3\).,"Topic: Mathematics -> Algebra -> Prealgebra -> Integers, Difficulty: 1.0",100,1.0,Mathematics -> Algebra -> Prealgebra -> Integers,1.0,deepmath
deepmath_1.5_1,"Find the expected value of a random variable \( X \) with a normal distribution \( X \sim \mathcal{N}(\mu, \sigma^2) \).","Topic: Mathematics -> Applied Mathematics -> Statistics -> Mathematical Statistics, Difficulty: 1.5",\mu,1.5,Mathematics -> Applied Mathematics -> Statistics -> Mathematical Statistics,1.5,deepmath
deepmath_1.5_4,"Does the proof of the rank-nullity theorem in Lang's ""Linear Algebra"" book require the axiom of choice for finite sets? Answer yes or no.","Topic: Mathematics -> Algebra -> Linear Algebra -> Other, Difficulty: 1.5",No,1.5,Mathematics -> Algebra -> Linear Algebra -> Other,1.5,deepmath
deepmath_1.5_2,Calculate the total number of non-empty subsets of a set containing $10^8$ distinct objects.,"Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: 1.5",2^{10^8} - 1,1.5,Mathematics -> Discrete Mathematics -> Combinatorics,1.5,deepmath
deepmath_2.0_1,"If two vector spaces $V$ and $W$ are isomorphic, do they necessarily have the same dimension? Provide a justification for your answer.","Topic: Mathematics -> Algebra -> Linear Algebra -> Vectors, Difficulty: 2.0",Yes,2.0,Mathematics -> Algebra -> Linear Algebra -> Vectors,2.0,deepmath
deepmath_2.0_4,What is the value of \( \ln \left(e^{2 \pi i}\right) \)?,"Topic: Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers, Difficulty: 2.0",0,2.0,Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers,2.0,deepmath
deepmath_2.0_2,"Determine whether the logical statement \( \forall x\,P(x) \to \exists x\,P(x) \) is true.","Topic: Mathematics -> Discrete Mathematics -> Logic, Difficulty: 2.0",true,2.0,Mathematics -> Discrete Mathematics -> Logic,2.0,deepmath
deepmath_2.5_1,"Given a normal distribution of cheese weights X with mean 10 kg and standard deviation 2 kg, determine the weight threshold h such that the probability of a cheese weighing more than h is at least 0.991. Calculate the value of h.","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other, Difficulty: 2.5",5.27,2.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other,2.5,deepmath
deepmath_2.5_4,"Given a finite set of natural numbers \( S = \{x_1, x_2, \dots, x_n\} \), determine the number of distinct natural numbers that divide at least one element of the set \( S \). For example, if \( S = \{2, 6, 15\} \), the answer is 6.","Topic: Mathematics -> Number Theory -> Factorization, Difficulty: 2.5",6,2.5,Mathematics -> Number Theory -> Factorization,2.5,deepmath
deepmath_2.5_2,Calculate the distance from the complex number $1$ to $-2 i^{2/3}$. Express your answer in simplest form.,"Topic: Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers, Difficulty: 2.5",\sqrt{7},2.5,Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers,2.5,deepmath
deepmath_3.0_0,"When three standard dice are tossed, the numbers $a,b,c$ are obtained. Find the probability that $$(a-1)(b-1)(c-1) \neq 0$$","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Other, Difficulty: 3.0",\frac{125}{216},3.0,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Other,3.0,deepmath
deepmath_3.0_5,Find the coefficient of $x^2$ in the expansion of \[\left(x+\frac{1}{x}\right)^6.\],"Topic: Mathematics -> Algebra -> Algebra -> Polynomial Operations, Difficulty: 3.0",15,3.0,Mathematics -> Algebra -> Algebra -> Polynomial Operations,3.0,deepmath
deepmath_3.0_36,"If $g(x) = 2x^2+2x-1$, what is the value of $g(g(2))$?","Topic: Mathematics -> Algebra -> Algebra -> Algebraic Expressions, Difficulty: 3.0",263,3.0,Mathematics -> Algebra -> Algebra -> Algebraic Expressions,3.0,deepmath
deepmath_3.5_0,"Given a deck of 52 cards, how many times must it be shuffled to make it ""random""? Assume a riffle shuffle is used, where the deck is cut into two stacks and interleaved. Provide your answer as a whole number of shuffles.","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other, Difficulty: 3.5",7,3.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other,3.5,deepmath
deepmath_3.5_5,"Given a multiset of symbols \((A, A, B, B, B, C, D, D)\), find the nth permutation of the symbols when sorted in alphabetical order.","Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: 3.5",BDCADABB,3.5,Mathematics -> Discrete Mathematics -> Combinatorics,3.5,deepmath
deepmath_3.5_11,"In category theory, must a directed graph have arrows connecting each point to itself to be considered a category?","Topic: Mathematics -> Algebra -> Abstract Algebra -> Other, Difficulty: 3.5",Yes,3.5,Mathematics -> Algebra -> Abstract Algebra -> Other,3.5,deepmath
deepmath_4.0_30,"Express $249_{11}+3AB_{12}$ as a base 10 integer. Here $A$ and $B$ denote the digits whose values are 10 and 11, respectively, in base 12.","Topic: Mathematics -> Algebra -> Prealgebra -> Integers, Difficulty: 4.0",858,4.0,Mathematics -> Algebra -> Prealgebra -> Integers,4.0,deepmath
deepmath_4.0_65,Evaluate the limit \( \displaystyle\lim_{x\to0}\frac {(\sin(x)-x)^2} {(\cos(x)-1)^3} \) using Taylor polynomials.,"Topic: Mathematics -> Precalculus -> Limits, Difficulty: 4.0",-\dfrac{2}{9},4.0,Mathematics -> Precalculus -> Limits,4.0,deepmath
deepmath_4.0_64,"Determine the value of \(v\) that minimizes the function \(E(v) = (av^3)\left(\frac{L}{v-u}\right)\), where \(a\), \(L\), and \(u\) are constants.","Topic: Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives, Difficulty: 4.0",\dfrac{3u}{2},4.0,Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives,4.0,deepmath
deepmath_4.5_78,"Find the minimum value of the sum of distances $PA + PB$, where $P(x, y, z)$ lies on the line given by \( \frac{x+2}{2}=\frac{y+7}{2}=\frac{z-2}{1} \), and $A(5,3,4)$ and $B(1,-1,2)$ are two fixed points.","Topic: Mathematics -> Geometry -> Solid Geometry -> 3D Shapes, Difficulty: 4.5",6\sqrt{2},4.5,Mathematics -> Geometry -> Solid Geometry -> 3D Shapes,4.5,deepmath
deepmath_4.5_0,"Determine whether the following statement is true or false: If you run at a constant pace along any closed path, starting and ending at the same spot, and the sun is assumed to be stationary, you will receive the same amount of sunlight on the front and back of your body.","Topic: Mathematics -> Applied Mathematics -> Other, Difficulty: 4.5",True,4.5,Mathematics -> Applied Mathematics -> Other,4.5,deepmath
deepmath_4.5_68,"Evaluate the integral \( \int_0^1 x \log x \, dx \).","Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable, Difficulty: 4.5",-\dfrac{1}{4},4.5,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable,4.5,deepmath
deepmath_5.0_73,"Compute the line integral \(\int_C (y^2z^3\,dx + 2xyz^3\,dy + 3xy^2z^2\,dz)\) where \(C\) is the straight line path from \(a = (1,1,1)\) to \(b = (2,2,2)\).","Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Multi-variable, Difficulty: 5.0",63,5.0,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Multi-variable,5.0,deepmath
deepmath_5.0_280,"Let $A$ be a $2\times2$ matrix with real entries such that $\det(A) = d \neq 0$. Given that $\det(A + d\cdot\text{Adj}(A)) = 0$, find the value of $\det(A - d\cdot\text{Adj}(A))$, where $\text{Adj}(A)$ denotes the adjugate of $A$. Use only basic properties of matrices and determinants.","Topic: Mathematics -> Algebra -> Linear Algebra -> Matrices, Difficulty: 5.0",4,5.0,Mathematics -> Algebra -> Linear Algebra -> Matrices,5.0,deepmath
deepmath_5.0_25,"In a group $G$ with exactly $8$ elements of order $3$, determine the number of subgroups of order $3$ in $G$. Provide your answer as a single integer.","Topic: Mathematics -> Algebra -> Abstract Algebra -> Group Theory, Difficulty: 5.0",4,5.0,Mathematics -> Algebra -> Abstract Algebra -> Group Theory,5.0,deepmath
deepmath_5.5_9,"Determine the values of $a \in \mathbb{R}$ for which the function \[ f(x,y) = \begin{cases} \dfrac{xy^a}{x^2+y^2}&(x,y) \neq (0,0)\\ \ 0&(x,y) = (0,0) \end{cases} \] is continuous.","Topic: Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives, Difficulty: 5.5",a > 1,5.5,Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives,5.5,deepmath
deepmath_5.5_255,"Determine the number of integers \( m \leq 1000 \) for which the sum \( \sum\limits_{k=1}^m \left\lfloor \frac{m}{k} \right\rfloor \) is even. Here, \( \lfloor x \rfloor \) denotes the floor function, which gives the largest integer less than or equal to \( x \).","Topic: Mathematics -> Algebra -> Prealgebra -> Integers, Difficulty: 5.5",495,5.5,Mathematics -> Algebra -> Prealgebra -> Integers,5.5,deepmath
deepmath_6.0_284,"Determine whether the following limit exists given that \( \sum_{n=1}^{\infty}\frac{b_n}{n} \) converges, where \( b_n > 0 \) for all positive integers \( n \):

\[ \lim_{n \to \infty}\sum_{i=n+1}^{2n}\frac{b_i}{i} \]","Topic: Mathematics -> Precalculus -> Limits, Difficulty: 6.0",0,6.0,Mathematics -> Precalculus -> Limits,6.0,deepmath
deepmath_6.0_116,"Let \(a, b, c, d\) be real numbers such that \(a+b+c+d=0\) and \(abcd=1\). Find the minimum value of \(a^4+b^4+c^4+d^4+a^2+b^2+c^2+d^2\).","Topic: Mathematics -> Algebra -> Algebra -> Equations and Inequalities, Difficulty: 6.0",8,6.0,Mathematics -> Algebra -> Algebra -> Equations and Inequalities,6.0,deepmath
deepmath_6.5_73,Evaluate the limit: \[ \lim_{k\to\infty} \left[\frac{e^{1/k}}{k^2}+\frac{2(e^{1/k})^2}{k^2}+\frac{3(e^{1/k})^3}{k^2}+ \dots  +\frac{k(e^{1/k})^k}{k^2}\right] \],"Topic: Mathematics -> Precalculus -> Limits, Difficulty: 6.5",1,6.5,Mathematics -> Precalculus -> Limits,6.5,deepmath
deepmath_6.5_18,"Given a sequence of rational numbers $(a_n)_n$ converging to an irrational number $\alpha$, and considering the sets $K_n=\{z^{p_n}:z\in\mathbb{C}\wedge z^{q_n}=1\}$, where $a_n=p_n/q_n$ with $p_n$ and $q_n$ coprime, find the cardinality of $K_n$ if $\gcd(p_n,q_n)=d$. Express your answer in terms of $q_n$ and $d$. \( \boxed{} \)","Topic: Mathematics -> Algebra -> Abstract Algebra -> Group Theory, Difficulty: 6.5",\dfrac{q_n}{d},6.5,Mathematics -> Algebra -> Abstract Algebra -> Group Theory,6.5,deepmath
deepmath_7.0_100,"Find the maximum value of the constant \(k\) such that for all positive numbers \(a, b, c\), the inequality \(\frac{k a b c}{a+b+c} \leq (a+b)^2 + (a+b+4c)^2\) holds.","Topic: Mathematics -> Algebra -> Algebra -> Equations and Inequalities, Difficulty: 7.0",100,7.0,Mathematics -> Algebra -> Algebra -> Equations and Inequalities,7.0,deepmath
deepmath_7.0_136,"Determine whether it is true that for a non-constant function \( f(x) \in C^1 \), there are only a finite number of maxima within any given finite interval. The function \( f(x) \) satisfies the conditions:
\[
\sup_{x \in \text{dom}(f(x))} |f(x)| < c_0 < \infty, \\
\sup_{x \in \text{dom}(f(x))} |f'(x)| < c_1 < \infty,
\]
where \( c_0 \) and \( c_1 \) are positive constants.","Topic: Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives, Difficulty: 7.0",False,7.0,Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives,7.0,deepmath
deepmath_7.5_55,"In the group \( G = \mathbb{Z}_3 \ltimes (\mathbb{Z}_5 \times \mathbb{Z}_5) \), where \( \phi: \mathbb{Z}_3 \rightarrow \operatorname{Aut}(\mathbb{Z}_5 \times \mathbb{Z}_5) \), determine the number of homomorphisms \( \phi_i \) induced by the elements \( \bar{0}, \bar{1}, \bar{2} \) of \( \mathbb{Z}_3 \).","Topic: Mathematics -> Algebra -> Abstract Algebra -> Group Theory, Difficulty: 7.5",21,7.5,Mathematics -> Algebra -> Abstract Algebra -> Group Theory,7.5,deepmath
deepmath_7.5_40,"Find the explicit equation of the elliptic curve corresponding to the lattice $\langle 1, i \rangle$.","Topic: Mathematics -> Algebra -> Abstract Algebra -> Field Theory, Difficulty: 7.5",y^2 = 4x^3 - 4x,7.5,Mathematics -> Algebra -> Abstract Algebra -> Field Theory,7.5,deepmath
deepmath_8.0_9,Evaluate the integral \( \int_{-\infty}^{\infty} \frac{\mathrm{d}^n}{\mathrm{d}x^n} e^{-x^2} \mathrm{d}x \) for \( n \neq 0 \).,"Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Multi-variable, Difficulty: 8.0",0,8.0,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Multi-variable,8.0,deepmath
deepmath_8.0_184,Determine the set of all possible values of the series \( \sum_{n\geq 1}\frac{1}{x_n} \) where \( (x_n)_{n\geq 1} \) is an increasing sequence of positive natural numbers and the series converges.,"Topic: Mathematics -> Calculus -> Integral Calculus -> Applications of Integrals, Difficulty: 8.0","(0, \infty)",8.0,Mathematics -> Calculus -> Integral Calculus -> Applications of Integrals,8.0,deepmath
deepmath_8.5_4,"Evaluate the contour integral \( \oint_{\gamma} \frac{f'(z)}{f(z)} dz \), where \( f(z) = f(0) \prod_{\rho} \left(1 - \frac{z}{\rho}\right) \) and \( \rho \) are the roots of \( f(z) \). The contour \( \gamma \) is a rectangle with vertices at \( a \), \( a + b \), \( a + b + it \), and \( a + it \), traversed counterclockwise. Assume all roots of \( f(z) \) lie within the rectangle. Determine the value of the integral.","Topic: Mathematics -> Other, Difficulty: 8.5",2\pi i N,8.5,Mathematics -> Other,8.5,deepmath
deepmath_8.5_35,"Is it true that every natural number can be extended to a prime number by adding digits? Formally, given a natural number \( n \), does there exist a prime number \( p \) such that \( n \) is a contiguous subsequence of the digits of \( p \)?","Topic: Mathematics -> Number Theory -> Prime Numbers, Difficulty: 8.5",Yes,8.5,Mathematics -> Number Theory -> Prime Numbers,8.5,deepmath
deepmath_9.0_8,Is the multiplication of infinite cardinals defined in Zermelo-Fraenkel set theory without the Axiom of Choice?,"Topic: Mathematics -> Algebra -> Abstract Algebra -> Other, Difficulty: 9.0",Yes,9.0,Mathematics -> Algebra -> Abstract Algebra -> Other,9.0,deepmath
deepmath_9.0_16,"Does the real part of the Riemann zeta function, \( \Re\zeta(s) \), ever vanish for \( \frac{1}{2}<\Re(s)\leq 1 \)?","Topic: Mathematics -> Number Theory -> Other, Difficulty: 9.0",Yes,9.0,Mathematics -> Number Theory -> Other,9.0,deepmath
